board_state,pawn_move,before_eval,after_eval,eval_change
rnbqk1nr/ppp2ppp/3p4/2b1p3/2P1P3/5N2/PP1P1PPP/RNBQKB1R w KQkq - 0 4,d2d3,-47,-38,-9
rnbqk1nr/1pp2ppp/p2p4/2b1p3/2P1P3/3P1N2/PP3PPP/RNBQKB1R w KQkq - 0 5,a2a3,-4,-16,12
rn1qk1nr/1pp2ppp/p2p4/2b1p3/2P1P1b1/P2P1N2/1P3PPP/RNBQKB1R w KQkq - 1 6,h2h3,-1,-25,24
4k2r/rp1nnp2/p1pp1q1p/4p1p1/2P1P1Q1/P1NP3P/1P2BPP1/1R3RK1 w k - 0 16,b2b4,-7,-16,9
1r2k2r/1p2np2/pNpp1nq1/4p1pp/1PP1P3/P2PQ2P/4BPP1/1R3RK1 w k - 6 21,c4c5,201,124,-77
1r2k2r/1p2np2/pNp2nq1/2Ppp1pp/1P2P3/P2PQ2P/4BPP1/1R3RK1 w k - 0 22,e4d5,124,128,4
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,26,25,-1
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c2c4,71,-18,-89
rnbqk2r/pp2pp1p/3p2p1/2p2n2/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 7,d4d5,112,111,-1
rnbq1rk1/pp2pp1p/3p2p1/2pP1n2/2P5/2N2N2/PP2PPPP/R2QKB1R w KQ - 1 8,e2e4,135,135,0
rn1q1rk1/1p1b1p2/p2pp1p1/2pP2Np/2PnP3/2NB4/PP3PPP/R2QR1K1 w - - 0 13,d5e6,46,25,-21
rn1q1rk1/1p3p2/p2pb1p1/2pN4/2P1P2p/3B4/PP3PPP/R2QR1K1 w - - 0 16,h2h3,61,0,-61
rn1q1rk1/1p3p2/p2p2p1/2pN4/2P1P2p/3B3b/PP3PP1/R2QR1K1 w - - 0 17,g2h3,509,501,-8
r4r1k/1p2Np2/p2p1np1/2p3q1/Q1P1P2p/3B3P/PP3P2/R3RK2 w - - 7 21,f2f3,330,0,-330
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,28,25,-3
rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,d4e5,124,147,23
rnbqkbnr/ppp2ppp/3p4/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,e5d6,166,128,-38
rnbq1rk1/ppp2ppp/3b1n2/8/8/2N2N2/PPP1PPPP/R1BQKB1R w KQ - 4 6,a2a3,100,70,-30
r1bq1rk1/ppp2ppp/2nb1n2/8/8/P1N2N2/1PP1PPPP/R1BQKB1R w KQ - 1 7,e2e3,93,43,-50
r1b2rk1/1p3pp1/p1pq1n1p/4b3/8/P1N1PB2/1PPBQPP1/2RR3K w - - 2 16,e3e4,-39,-64,25
3q2k1/1p3p2/p1p1bp1p/8/4P3/P4B2/1PP1QPP1/7K w - - 0 25,c2c4,6,-73,-79
6k1/1p3p2/p1p1bp1p/8/2PqP3/P4B2/1P2QPP1/7K w - - 1 26,c4c5,-86,-122,36
6k1/1p3p2/p1p1b2p/2q2p2/4P3/P4B2/1P1Q1PP1/7K w - - 0 28,e4f5,0,-23,-23
8/2Q2pk1/p1p3b1/1pq5/8/P7/1P3PP1/7K w - - 0 34,b2b4,-521,-514,-7
8/5pk1/6b1/8/Qp6/2q5/5PP1/6K1 w - - 4 43,f2f3,-611,-646,35
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,30,28,-2
rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,69,65,-4
rnbqkbnr/pp2pp1p/2pp2p1/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,h2h3,89,69,-20
