board_state,pawn_move,before_eval,after_eval,eval_change
rnb1kbnr/pppp1ppp/5q2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,d2d4,144,89,-55
rnb1kbnr/ppp2ppp/3p1q2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,d4d5,167,75,-92
rn5r/1ppbkppp/p2p3q/3Pp3/4P1n1/2N2N2/PPP1QPPP/1K1R1B1R w - - 4 14,h2h3,135,139,4
rn5r/1ppbkppp/p2p1n1q/3Pp3/4P3/2N2N1P/PPP1QPP1/1K1R1B1R w - - 1 15,g2g4,142,-70,-212
rnr5/1p1bkp1p/p2p1n1q/2pPp1p1/4P1P1/2N4P/PPPNQPB1/1K1R3R w - c6 0 18,d5c6,274,300,26
rnr5/1p1nkp1p/p1bp3q/4p1p1/4P1P1/2N1Q2P/PPPN1PB1/1K1R3R w - - 2 20,h3h4,543,417,-126
rnr5/3nkp1p/p1bp3q/1p2p1p1/4P1PP/2N1Q3/PPPN1PB1/1K1R3R w - - 0 21,h4g5,511,476,-35
rnr2q2/3nkp1p/p1bp4/1p2p1P1/4P1P1/2N1Q3/PPPN1PB1/1K1R3R w - - 1 22,g5g6,521,318,-203
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,26,27,1
rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,e2e3,32,9,-23
rnbqkbnr/pp1p1ppp/4p3/2p5/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq - 0 3,c2c3,16,-12,-28
rnbqkbnr/p4ppp/4p3/1p1p4/2pP4/2P1P3/PPB2PPP/RNBQK1NR w KQkq - 0 6,f2f4,95,-36,-131
2k3r1/1b5p/2n2b2/p2p4/1ppPpP2/2P1P3/PP1B1RPP/1R4K1 w - - 2 25,g2g3,-75,-131,56
2k3r1/1b6/2n2b2/p2p4/1ppPpP2/2P1P1p1/PP1B1RKP/5R2 w - - 0 28,h2g3,-120,-109,-11
6r1/2k5/2n2R2/p2p4/2pP1P2/1pP1PKP1/PP1B4/8 w - - 0 34,a2b3,311,424,113
6r1/2k5/2n2R2/p2p4/3P1P2/1pP1PKP1/1P1B4/8 w - - 0 35,e3e4,436,289,-147
6r1/1nk5/8/5R2/p2P1P2/1pP2KP1/1P1B4/8 w - - 4 39,g3g4,278,212,-66
6r1/8/1k1n4/2R5/p2P1PP1/1pP2K2/1P1B4/8 w - - 3 41,c3c4,206,-125,-331
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,26,24,-2
rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,c2c4,60,26,-34
rnbqk1nr/ppppppbp/6p1/8/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq - 1 3,d2d4,52,56,4
rnbqk1nr/p2pppbp/1p4p1/2p5/2PPP3/5N2/PP3PPP/RNBQKB1R w KQkq - 0 5,d4d5,98,103,5
rnbq1rk1/p2p1pbp/1p2pnp1/2pP4/2P1P3/2NB1N2/PP3PPP/R1BQK2R w KQ - 0 8,d5d6,166,-13,-179
q2r2k1/pb1p1pbp/1p1Ppnp1/2p1N3/2PnP3/3B4/PP3PPP/R1BQ1RK1 w - - 4 14,f2f3,-17,12,29
q2rn1k1/pb1p1p1p/1p1Pp1p1/2p1b3/Q1PnP3/3B1P2/PP4PP/R1B2RK1 w - - 0 16,f3f4,-522,-551,29
q2rn1k1/pb1p1p1p/1p1bp1p1/2p5/Q1PnPP2/3B4/PP4PP/R1B2RK1 w - - 0 17,f4f5,-557,-585,28
q2rn1k1/pb1p1p1p/1p1b2p1/2p2p2/Q1PnP3/3B4/PP4PP/R1B2RK1 w - - 0 18,e4f5,-547,-590,43
q2rn1k1/p2p1p1p/1p1b2p1/2p2P2/Q1Pn4/3B4/PP4bP/R1B2RK1 w - - 0 19,f5g6,-579,-574,-5
q2rn1k1/p2p1p1p/1p1b2P1/2p5/Q1Pn4/3B4/PP5P/R1B2bK1 w - - 0 20,g6h7,-650,-689,39
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,c2c4,24,19,-5
rnbqkb1r/pppp1ppp/4pn2/8/2P5/5N2/PP1PPPPP/RNBQKB1R w KQkq - 0 3,e2e3,16,6,-10
r2qkb1r/pb1p1ppp/1pn1pn2/2p5/2P5/2N1PN2/PP1PBPPP/R1BQ1RK1 w kq - 2 7,b2b3,55,16,-39
r2q1rk1/pb1pbppp/1pn2n2/2p1p3/2P5/1PN1PN2/PB1PBPPP/2RQ1RK1 w - - 0 10,d2d4,47,49,2
r2q1rk1/pb1pbppp/1pn2n2/6N1/2Ppp3/1PN1P3/PB2BPPP/2RQ1RK1 w - - 0 12,e3d4,76,15,-61
r2q1rk1/pb2bppp/1pn2n2/3p2N1/2PPp3/1PN5/PB2BPPP/2RQ1RK1 w - - 0 13,c4d5,17,14,-3
r4rk1/p2R1ppp/1p6/8/3Bbb2/1P6/P3BPPP/5RK1 w - - 4 20,g2g3,26,-5,-31
5rk1/p4ppp/1p2b2b/1R2B3/8/1P3BP1/P2r1P1P/5RK1 w - - 9 25,a2a4,-47,-67,20
5r2/p4pkp/1p2b1p1/1R6/P7/1P3BP1/3r1PKP/5R2 w - - 0 28,a4a5,-27,-24,-3
1r6/p4pkp/1p2b1p1/PR6/8/1P3BP1/3r1PKP/5R2 w - - 1 29,a5b6,-21,-22,1
8/5pkp/1p2b1p1/8/8/1P1r1BP1/5PKP/1R6 w - - 2 32,b3b4,-39,-25,-14
8/5pkp/2r3p1/8/1P6/6P1/5P1P/1R3K2 w - - 2 40,b4b5,296,266,-30
8/5p2/1r1k2p1/1P5p/1K6/6P1/5P1P/4R3 w - - 0 47,f2f4,405,326,-79
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,27,33,6
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,33,29,-4
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,e4e5,24,21,-3
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,c2c3,28,31,3
rnbqkb1r/pp2nppp/4p3/2ppP3/3P4/2P5/PP3PPP/RNBQKBNR w KQkq - 1 5,f2f4,40,-27,-67
r1bqkb1r/pp2nppp/2n1p3/3pP3/3p1P2/2P2N2/PP4PP/RNBQKB1R w KQkq - 0 7,c3d4,-33,-39,6
r1bqkb1r/pp3ppp/2n1p3/3pPn2/3P1P2/5N2/PP4PP/RNBQKB1R w KQkq - 1 8,g2g4,-40,-49,9
r2qkb1r/pp1b1ppp/4p1n1/3pP3/1n1P1PP1/2NB1N2/PP5P/R1BQ1RK1 w kq - 7 12,a2a3,132,56,-76
r2qk2r/pp1bbppp/4p1n1/3pP3/3P1PP1/P1NQ1N2/1P5P/R1B2RK1 w kq - 1 14,f4f5,81,81,0
r2qk2r/pp1bbppp/6n1/3pPp2/3P2P1/P1NQ1N2/1P5P/R1B2RK1 w kq - 0 15,g4f5,246,234,-12
r2qkn1r/pp1bbp1p/8/3NPPp1/3P4/P2Q1N2/1P5P/R1B2RK1 w kq g6 0 17,f5f6,514,429,-85
r2qkn1r/pp1bbp1p/5P2/3NP3/3P2p1/P2Q1N2/1P5P/R1B2RK1 w kq - 0 18,f6e7,755,764,9
r3kn1r/pp1bPp1p/8/q2NP3/3P2p1/P2Q1N2/1P5P/R1B2RK1 w kq - 1 19,e7f8q,776,784,8
r4k1r/pp3p2/1q5p/2NbP3/3P2pB/P2Q4/1P1N3P/R4RK1 w - - 4 27,b2b4,898,708,-190
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,27,26,-1
rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,48,44,-4
rnbqkbnr/pp2pppp/2pp4/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,c2c4,67,82,15
rnbqkbnr/p3pppp/2pp4/1p6/2PPP3/8/PP3PPP/RNBQKBNR w KQkq - 0 4,d4d5,221,54,-167
rnbqkbnr/p3pppp/3p4/1p1p4/2P1P3/8/PP3PPP/RNBQKBNR w KQkq - 0 5,c4d5,378,86,-292
4Rb1r/B3nppp/1Q6/1p6/k7/8/PP3PPP/R5K1 w - - 3 27,b2b3,10000,10000,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,30,19,-11
rnbqkbnr/pp1ppppp/8/2p5/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c2c4,65,-5,-70
r1bqkbnr/pp1ppp1p/2n3p1/8/2P5/8/PP2PPPP/RNBQKBNR w KQkq - 0 5,a2a3,7,-39,-46
r1b2rk1/pp2ppbp/1qnp1np1/6B1/2P5/P1N2N2/1PQ1PPPP/R3KB1R w KQ - 6 10,e2e3,-61,-109,48
2r2rk1/pp2ppbp/q2p2p1/3Q2B1/2Pn4/P3P3/5PPP/1R3RK1 w - - 0 18,e3d4,-151,-130,-21
6k1/pp3p1p/1b4p1/8/1Br5/P7/4rPPP/3R1RK1 w - - 4 24,h2h3,-246,-271,25
8/p5kp/1b6/5pp1/8/7P/4rPP1/4BRK1 w - - 0 34,g2g3,-224,-295,71
8/p7/1b6/4kppp/8/6PP/5PK1/4B3 w - - 1 39,f2f3,-384,-431,47
8/8/p7/4kppp/3b4/5PPP/3B2K1/8 w - - 0 41,f3f4,-49,-347,298
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,35,34,-1
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,d2d3,21,17,-4
r1bqk2r/pppp1pp1/2n2n1p/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 2 6,h2h3,22,14,-8
r1bqk2r/ppp2pp1/3p3p/2bnp3/2BnP3/3P1N1P/PPP2PP1/R1BQ1RK1 w kq - 0 9,e4d5,4,-40,-44
r1bqk2r/pp3pp1/2pp3p/2bPp3/2Bn4/3P1N1P/PPP2PP1/R1BQ1RK1 w kq - 0 10,a2a3,92,4,-88
1r1q1rk1/p4pp1/B2pb2p/2b1p3/3n4/P2P1N1P/1PP2PP1/R1BQ1RK1 w - - 3 14,c2c3,39,-267,-306
1r1q1rk1/p4pp1/B2pb2p/2b1pn2/8/P1PP1N1P/1P3PP1/R1BQ1RK1 w - - 1 15,d3d4,85,94,9
1r1q1rk1/p4pp1/B2pb2p/2b2n2/3p4/P1P2N1P/1P3PP1/R1BQ1RK1 w - - 0 16,c3d4,99,76,-23
1r1q1rk1/p4pp1/Bb2b2p/3pN3/3P4/P3n2P/1P3PP1/R2Q1RK1 w - - 0 19,f2e3,-2,46,48
1r3rk1/p1b3p1/B3bp1p/3p2q1/3P2N1/P3PQ1P/1P4P1/R4RK1 w - - 2 22,b2b4,50,0,-50
1r3rk1/p1b3p1/B4p1p/3p2q1/1P1P2b1/P3PQ1P/6P1/R4RK1 w - - 0 23,h3g4,0,2,2
4rr1k/p5p1/B4p1p/8/1P1P2Pb/P3PR2/6P1/R5K1 w - - 2 29,g2g3,307,288,-19
4r2k/p5p1/4rp1p/6b1/1P1P2P1/P2BPRP1/8/4R1K1 w - - 5 32,e3e4,278,226,-52
2r4k/p5p1/4rp1p/6b1/1P1PP1P1/P2B1RP1/8/4R1K1 w - - 1 33,e4e5,255,200,-55
2r4k/p5p1/4rp1p/4P3/1P1P2P1/P1bB1RP1/4R3/6K1 w - - 3 35,e5f6,455,22,-433
2r4k/p5p1/5b1p/8/1P4P1/P4RP1/4B2K/8 w - - 0 38,a3a4,15,9,-6
4R3/6k1/6pp/p7/Pb4PK/6P1/2B5/8 w - - 2 46,g4g5,642,573,-69
4R3/6k1/6p1/p5Pp/Pb5K/6P1/2B5/8 w - - 0 47,g3g4,691,582,-109
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,26,27,1
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,37,-7,-44
rnb1kbnr/pppp1ppp/5q2/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,d4e5,140,147,7
6k1/p1pr3p/1pR3p1/8/8/8/PPP1rPPP/2K2R2 w - - 3 23,b2b3,80,91,11
7k/8/8/7p/8/1P4R1/P1PK4/7r w - - 0 34,c2c4,415,386,-29
7k/8/8/8/2P5/1P2R2p/P2K4/7r w - - 0 36,c4c5,454,445,-9
8/6k1/8/2P5/8/1P2R2p/P2K4/7r w - - 1 37,c5c6,410,434,24
8/8/2P3k1/8/8/1P2R2p/P2K4/7r w - - 1 38,c6c7,594,687,93
8/2P5/8/6k1/8/1P2R2p/P2K4/7r w - - 1 39,c7c8q,759,860,101
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,32,34,2
rnbqkbnr/pppppp1p/6p1/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d4,64,59,-5
rnbqk1nr/ppppppbp/6p1/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,c2c3,72,45,-27
rnbqk1nr/pppp2bp/4p1p1/5p2/3PP3/2PB4/PP3PPP/RNBQK1NR w KQkq - 0 5,e4f5,130,120,-10
r1b3k1/pp1p2r1/2n1p2p/5p1q/3P2n1/2P2N2/PP2BPPP/RN1Q1RK1 w - - 0 18,h2h3,98,54,-44
r1b1q1k1/pp4r1/2p1p2p/3n1p2/3P4/2P2B1P/PP3PP1/RN1Q1RK1 w - - 2 22,c3c4,222,180,-42
r3q1k1/pp1b2r1/2p1p2p/3n1p2/2PP4/5B1P/PP3PP1/RN1Q1RK1 w - - 1 23,c4c5,457,120,-337
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,29,30,1
rnbqkbnr/pp3ppp/2p5/3pp3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,e4d5,16,-5,-21
r1bqk2r/pp3ppp/2nb1n2/3p4/B3p3/5N2/PPPP1PPP/RNBQR1K1 w kq - 2 9,d2d3,-219,-274,55
r1bq1rk1/pp3ppp/2nb1n2/3p4/B3p3/3P1N2/PPP2PPP/RNBQR1K1 w - - 1 10,d3e4,-278,-282,4
r1b2rk1/ppq2ppp/2nb1n2/8/B2Np3/8/PPP2PPP/RNBQR1K1 w - - 2 12,g2g3,-256,-296,40
8/5pkp/6p1/p7/8/6P1/P1KR1P1P/7r w - - 3 35,f2f3,1,-14,-15
8/5pk1/6p1/p6p/8/5PP1/P1KR3P/7r w - - 0 36,h2h4,3,-69,-72
8/5p2/7k/6pp/7P/R4Pr1/P1K5/8 w - - 0 40,h4g5,-12,-48,36
8/5p2/8/6k1/7p/3R1Pr1/P1K5/8 w - - 0 42,f3f4,-359,-412,53
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,26,28,2
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,h2h3,41,16,-25
r1bqkbnr/pp2pppp/2np4/2p5/4P3/5N1P/PPPP1PP1/RNBQKB1R w KQkq - 1 4,d2d4,16,16,0
1r2kb1r/pb1q1ppp/8/3pp3/8/2N4P/PPP2PP1/1RBQ1RK1 w k - 4 14,f2f4,-33,-223,190
1r2kb1r/pb4pp/5p2/3qp3/3p1P2/7P/PPP1NKP1/1RBQ1R2 w k - 0 17,f4e5,-340,-371,31
1r2k2r/pb4pp/8/3qp3/1b1p4/7P/PPP1N1P1/1RBQKR2 w k - 2 19,c2c3,-284,-273,-11
1r2k2r/pb4pp/8/3qp3/1b6/2Pp3P/PP2N1P1/1RBQKR2 w k - 0 20,c3b4,-96,-108,12
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,26,23,-3
rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e4e5,66,-21,-87
r1bqkbnr/ppp1pppp/2n5/4P3/3p4/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 4,c2c3,2,-55,-57
r1bqkbnr/ppp1p1pp/2n2p2/4P3/8/N1Pp1N2/PP1P1PPP/R1BQKB1R w KQkq - 0 6,e5f6,-6,-144,138
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e3,28,15,-13
rnbqkbnr/ppp1pppp/8/3p4/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 0 2,b2b3,12,-38,-50
rnb1kbnr/ppp2ppp/8/3pp1q1/8/1P2P3/PBPP1PPP/RN1QKBNR w KQkq - 2 4,g2g3,207,-12,-219
r1b1k2r/ppp2ppp/2n2n2/3pp1q1/1b6/1P2PQPB/PBPP1P1P/RN2K1NR w KQkq - 5 7,c2c3,-52,-165,113
4rrk1/ppB2ppp/2n2n2/4p1q1/8/1P2p1PB/P2PKPQP/RN5R w - - 0 14,d2e3,210,60,-150
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,36,21,-15
rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c2c4,99,63,-36
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,a2a3,80,42,-38
rn1qkbnr/pbpp1p1p/1p2p1p1/8/2PP4/P1N5/1P2PPPP/R1BQKBNR w KQkq - 0 5,h2h3,79,38,-41
rn1qk1nr/p1pp1pbp/1p2p1p1/8/2PP4/P1N2b1P/1P2PPP1/R1BQKB1R w KQkq - 0 7,e2f3,32,19,-13
rn2k1nr/p1pp1p1p/1p2p1p1/8/2P5/P1b2P1P/1P2BPP1/R1B2RK1 w kq - 0 11,b2c3,-225,-227,2
r3k2r/p2pn2p/1p2p1pB/n1p2p2/2P5/P1PB1P1P/5PP1/1R3RK1 w kq - 4 16,a3a4,-219,-220,1
r3k2r/p2p3p/1pn1p1pB/n1p2p2/P1P5/2PB1P1P/5PP1/1R3RK1 w kq - 1 17,g2g4,-238,-291,53
2k2rr1/p6p/1p1ppBp1/n1p2p2/P1P3P1/2P2P1P/4BP2/1R3RK1 w - - 2 22,g4g5,437,371,-66
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,37,25,-12
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,e2e3,21,13,-8
rn1qk2r/pp3pp1/3bpnp1/2pp4/3P4/3BP3/PPPNQPPP/R1B1K2R w KQkq - 0 9,c2c3,-8,-34,26
r2qk2r/pp3pp1/2nbpnp1/3p4/2pP4/2P1P3/PPBNQPPP/R1B1K2R w KQkq - 2 11,e3e4,108,113,5
r3k2r/ppq2p2/2nb1pp1/4p3/B1QP4/2P5/PP3PPP/R1B1K2R w KQkq - 5 17,d4d5,268,259,-9
r3k2r/1pq2p2/p1nb1pp1/3Pp3/B1Q5/2P5/PP3PPP/R1B1K2R w KQkq - 0 18,d5c6,257,266,9
r6r/2q2pk1/Q1Pb1pp1/4p3/8/2P1B3/PP3PPP/2KR3R w - - 7 24,b2b4,369,-574,-943
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,35,32,-3
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,b2b4,21,-23,-44
r1bqk1nr/pppp1ppp/2n5/4p3/1bB1P3/5N2/P1PP1PPP/RNBQK2R w KQkq - 0 5,c2c3,-12,-11,-1
r1bqk1nr/ppp2ppp/2np4/2b1p3/2B1P3/2P2N2/P2P1PPP/RNBQ1RK1 w kq - 0 7,d2d4,-5,-13,8
r1bqk1nr/ppp2ppp/1bnp4/8/2BpP3/B1P2N2/P4PPP/RN1Q1RK1 w kq - 0 9,c3d4,-71,-67,-4
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,35,35,0
rnbqkbnr/pp2pppp/2p5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,e4d5,26,18,-8
rnbqkbnr/pp2pppp/8/3p4/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,d2d4,23,20,-3
r1b2b1k/6qp/p1n1R3/1p4r1/3PR3/1B5Q/PPP2PPP/6K1 w - - 6 25,g2g3,-474,-516,42
4rb1k/6qp/p1n1B3/1p4r1/3PR3/6PQ/PPP2P1P/6K1 w - - 1 27,d4d5,-499,-541,42
4rb1k/6qp/p3B3/1p1Pn1r1/4R3/6PQ/PPP2P1P/6K1 w - - 1 28,f2f4,-481,-492,11
4rb1k/6qp/p3B1r1/1p1P4/4RP2/5nPQ/PPP4P/7K w - - 3 30,f4f5,-555,-617,62
4rb1k/6qp/p3B3/1p1P1Pr1/3nR3/6PQ/PPP3KP/8 w - - 3 32,c2c3,-467,-555,88
4rb1k/6qp/p3n3/1p1P1Pr1/4R3/2P3PQ/PP4KP/8 w - - 0 33,d5e6,-645,-602,-43
4r2k/6qp/p2bP3/1p3Pr1/4R3/2P3PQ/PP4KP/8 w - - 1 34,g3g4,-550,-660,110
1b2r2k/3Q3p/p3P2q/1p3Pr1/4R1P1/2P5/PP4KP/8 w - - 5 37,e6e7,-94,-417,323
1b4rk/4PQ1p/8/pp3P2/8/1KP5/PP4q1/8 w - - 0 45,e7e8q,-417,-584,167
4Q1rk/5Q1p/3b4/1p3P2/p7/K1P5/PP4q1/8 w - - 2 47,b2b4,-592,-584,-8
8/7p/3Q4/1p3Pk1/8/1KP5/P5q1/8 w - - 1 52,f5f6,195,5,-190
8/7p/5qk1/1Q6/8/1KP5/P7/8 w - - 0 55,a2a4,136,127,-9
8/7p/6k1/8/PQ6/K1Pq4/8/8 w - - 5 58,a4a5,202,216,14
8/8/8/P7/1K4kp/2P5/8/8 w - - 0 70,a5a6,635,941,306
8/8/P7/8/1K4k1/2P4p/8/8 w - - 0 71,a6a7,994,1041,47
8/P7/8/8/1K4k1/2P5/7p/8 w - - 0 72,a7a8q,1041,1060,19
8/8/8/8/1K3k2/2P5/8/7Q w - - 1 74,c3c4,1087,1095,8
8/8/8/4k3/1KP5/3Q4/8/8 w - - 9 79,c4c5,1214,10000,8786
8/8/4k3/2P5/1K6/3Q4/8/8 w - - 1 80,c5c6,10000,10000,0
8/8/2P5/4k3/1K6/3Q4/8/8 w - - 1 81,c6c7,10000,10000,0
8/2P1k3/8/8/1K1Q4/8/8/8 w - - 3 83,c7c8q,10000,10000,0
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,39,34,-5
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,b2b3,36,-25,-61
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/1P6/PBPP1PPP/RN1QKBNR w KQkq - 0 4,g2g3,74,-13,-87
rn1qkb1r/ppp2ppp/3p4/4p3/4n3/1P4PN/PBPP1P1P/RN1QK2R w KQkq - 0 7,f2f3,-40,-184,144
rn1qkb1r/ppp2ppp/3p4/2n1p3/8/1P3PPN/PBPP3P/RN1QK2R w KQkq - 1 8,d2d4,-182,-192,10
r4b1r/pppk1p1p/3p2p1/6n1/5N2/1PNKRPP1/P1P4P/R7 w - - 0 19,h2h4,-36,-168,132
r4r2/pppk2bp/3pp1p1/8/4N2P/1P1KRPP1/P1P5/3R4 w - - 4 23,f3f4,-103,-217,114
r4r2/p1pk2bp/1p1p2p1/4p1N1/5P1P/1P1KR1P1/P1P5/3R4 w - - 0 25,f4e5,-29,-37,8
5r2/3k4/pp1p2p1/2p5/7P/1P2K1b1/8/7R w - - 0 37,h4h5,-668,-685,17
5r2/3k4/pp1p4/2p3pP/8/1P2K1b1/8/7R w - - 0 38,h5h6,-633,-657,24
8/3k4/1p1p3r/p1p2Kp1/7b/1P6/8/R7 w - - 0 42,b3b4,-756,-771,15
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,35,36,1
rnbqkb1r/pppppppp/8/8/8/2n2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,d2c3,-108,-125,17
rnbqk2r/ppppbppp/4p3/6B1/8/2P2N2/PPP2PPP/R2QKB1R w KQkq - 2 6,h2h4,-149,-155,6
rnbq1rk1/pp2bppp/4p3/2pp2B1/7P/2PB1N2/PPP2PP1/R2QK2R w KQ - 0 9,b2b3,-112,-263,151
3r1rk1/pp4p1/4p2p/2ppq3/4p3/1PP5/PKP1QPP1/3R3R w - - 0 21,f2f3,-308,-341,33
3r1rk1/pp4p1/4p2p/2p1q3/3pp3/1PP2P2/PKP1Q1P1/3R3R w - - 0 22,f3e4,-362,-386,24
rnbqkbnr/pp1ppppp/8/2p5/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2,d2d3,20,-33,-53
rnbqkbnr/pp1ppp1p/6p1/2p5/8/2NP4/PPP1PPPP/R1BQKBNR w KQkq - 0 3,e2e4,2,-17,-19
rnbqk1nr/pp1pppbp/6p1/2p5/4P3/2NP4/PPP2PPP/R1BQKBNR w KQkq - 1 4,f2f4,-15,-16,1
r1b1k2r/p3qpbp/2npp1p1/2p5/1p2PP2/3P1N2/PPPBQ1PP/2KR1B1R w kq - 0 14,d3d4,-130,-102,-28
r5k1/p2r1p1p/3pp1p1/2p5/1p1bPP2/8/PPPB2PP/2KR3R w - - 0 21,c2c3,-145,-164,19
r5k1/p2r1p1p/3pp1p1/2p5/4PP2/2b5/PP4PP/2KR3R w - - 0 23,b2c3,-198,-211,13
3r2k1/p2r1p1p/4p1p1/2pp4/4PP2/2P5/P1K3PP/3R3R w - - 0 25,e4e5,-123,-172,49
3r2k1/p2r1p1p/4p1p1/2p1P3/3p1P2/2P5/P1K3PP/3R3R w - - 0 26,c3c4,-132,-223,91
8/pr2kp1p/4p1p1/2p1P3/2PpKP2/8/P1R3PP/8 w - - 8 33,g2g4,-309,-307,-2
8/pr2k2p/4ppp1/2p1P3/2PpKPP1/8/P1R4P/8 w - - 0 34,e5f6,-253,-264,11
8/pr5p/4pkp1/2p5/2PpKPP1/8/P1R4P/8 w - - 0 35,h2h4,-277,-281,4
8/pr6/4pkpp/2p5/2PpKPPP/8/P1R5/8 w - - 0 36,g4g5,-52,-62,10
8/pr6/4pkp1/2p3p1/2PpKP1P/8/P1R5/8 w - - 0 37,h4g5,-63,-71,8
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,30,15,-15
r1bqkbnr/pppppppp/2n5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,e2e3,66,45,-21
r2qkbnr/ppp2ppp/2n1p3/3p4/3P4/3bPN2/PPPB1PPP/RN1QK2R w KQkq - 0 6,c2d3,-1,5,6
